parameter,value,neg_log_like
kappa,0.0046737202426921,
kappa,0.004699613429632222,
kappa,0.004725506616572345,
kappa,0.004751399803512467,
kappa,0.0047772929904525896,
kappa,0.004803186177392713,
kappa,0.004829079364332835,
kappa,0.004854972551272957,-38241.13055151174
kappa,0.00488086573821308,-38252.557886097784
kappa,0.004906758925153202,-38258.38561946468
kappa,0.004932652112093324,-38258.41695634443
kappa,0.004958545299033447,-38254.34010937508
kappa,0.0049844384859735694,-38245.43195965319
kappa,0.005010331672913692,-38230.669035751496
kappa,0.005036224859853814,-38209.63654016673
kappa,0.005062118046793937,-38183.11004670564
kappa,0.005088011233734059,-38150.63594328784
kappa,0.005113904420674181,-38111.99260242477
kappa,0.005139797607614304,-38066.181132078964
kappa,0.005165690794554426,-38012.51947310013
theta,0.32252122462363625,
theta,0.32430804581268685,
theta,0.3260948670017375,
theta,0.3278816881907881,
theta,0.3296685093798387,
theta,0.3314553305688894,
theta,0.33324215175794,
theta,0.3350289729469906,-38238.928631772826
theta,0.33681579413604124,-38251.459600833674
theta,0.33860261532509184,-38258.09405022737
theta,0.34038943651414244,-38258.63060310657
theta,0.34217625770319304,-38254.80295051992
theta,0.3439630788922437,-38245.83568867906
theta,0.3457499000812943,-38230.67617089127
theta,0.3475367212703449,-38208.91363501015
theta,0.34932354245939556,-38181.43997344766
theta,0.35111036364844617,-38147.635968722454
theta,0.35289718483749677,-38107.22274094458
theta,0.3546840060265474,-38059.252803282754
theta,0.35647082721559803,-38002.93407942092
sigma,0.054480634299498634,-38250.41421984811
sigma,0.054782466068470925,-38251.898395954384
sigma,0.055084297837443216,-38253.25068865593
sigma,0.05538612960641551,-38254.470774189496
sigma,0.0556879613753878,-38255.55830641718
sigma,0.05598979314436009,-38256.512917792774
sigma,0.05629162491333239,-38257.334219739234
sigma,0.05659345668230468,-38258.02180335953
sigma,0.05689528845127697,-38258.575240022874
sigma,0.05719712022024926,-38258.99408204135
sigma,0.05749895198922155,-38259.277863080395
sigma,0.05780078375819384,
sigma,0.058102615527166133,
sigma,0.058404447296138425,
sigma,0.058706279065110716,
sigma,0.059008110834083013,
sigma,0.059309942603055305,
sigma,0.059611774372027596,
sigma,0.05991360614099989,
sigma,0.06021543790997218,
lambda1,[-0.69361354],-38258.582836555055
lambda1,[-0.68308723],-38258.65233817549
lambda1,[-0.67256091],-38258.71962707215
lambda1,[-0.6620346],-38258.78469512767
lambda1,[-0.65150828],-38258.84753389245
lambda1,[-0.64098196],-38258.90813456195
lambda1,[-0.63045565],-38258.96648795238
lambda1,[-0.61992933],-38259.0225844741
lambda1,[-0.60940302],-38259.07641410291
lambda1,[-0.5988767],-38259.127966348766
lambda1,[-0.58835038],-38259.177230221874
lambda1,[-0.57782407],-38259.22419419557
lambda1,[-0.56729775],-38259.2688461659
lambda1,[-0.55677144],-38259.311173407485
lambda1,[-0.54624512],-38259.35116252513
lambda1,[-0.53571881],-38259.38879940079
lambda1,[-0.52519249],-38259.42406913535
lambda1,[-0.51466617],-38259.4569559845
lambda1,[-0.50413986],-38259.4874432881
lambda1,[-0.49361354],-38259.51551339211
sigma_err,0.002612683550077313,-38241.420477031264
sigma_err,0.0026271582511857745,-38245.4696719209
sigma_err,0.002641632952294236,-38248.97116205313
sigma_err,0.002656107653402698,-38251.9392500143
sigma_err,0.0026705823545111595,-38254.387827305545
sigma_err,0.0026850570556196207,-38256.3303880076
sigma_err,0.0026995317567280823,-38257.78004192421
sigma_err,0.002714006457836544,-38258.74952722685
sigma_err,0.0027284811589450056,-38259.25122262201
sigma_err,0.0027429558600534673,-38259.29715906162
sigma_err,0.002757430561161929,-38258.89903101594
sigma_err,0.0027719052622703906,-38258.06820732738
sigma_err,0.0027863799633788522,-38256.815741663
sigma_err,0.002800854664487314,-38255.15238258241
sigma_err,0.002815329365595775,-38253.08804893386
sigma_err,0.0028298040667042368,-38250.63048644103
sigma_err,0.0028442787678126984,-38247.792603208894
sigma_err,0.00285875346892116,-38244.58401974256
sigma_err,0.0028732281700296217,-38241.014096567764
sigma_err,0.0028877028711380833,-38237.09194230243
