center,parameter,idx,value,neg_log_like
kalman,kappa,0,0.10382082382747275,
kalman,kappa,0,0.10546877341203581,
kalman,kappa,0,0.10711672299659887,
kalman,kappa,0,0.10876467258116193,
kalman,kappa,0,0.11041262216572499,
kalman,kappa,0,0.11206057175028805,
kalman,kappa,0,0.1137085213348511,
kalman,kappa,0,0.11535647091941417,-52053.82657459621
kalman,kappa,0,0.11700442050397722,-52000.873138015464
kalman,kappa,0,0.11865237008854028,-51851.69853378916
kalman,kappa,0,0.12030031967310334,-51596.927623097115
kalman,kappa,0,0.1219482692576664,-51231.87079980156
kalman,kappa,0,0.12359621884222946,-50750.623972248795
kalman,kappa,0,0.12524416842679253,-50146.88701197083
kalman,kappa,0,0.12689211801135558,-49414.38204078733
kalman,theta,0,0.3530190507834422,-51213.65764951817
kalman,theta,0,0.3586225277800048,-51424.348646440674
kalman,theta,0,0.36422600477656736,-51604.53992673728
kalman,theta,0,0.3698294817731299,-51752.13996061831
kalman,theta,0,0.3754329587696925,-51864.141010127714
kalman,theta,0,0.3810364357662551,-51951.83133542797
kalman,theta,0,0.3866399127628177,-52017.64346677959
kalman,theta,0,0.3922433897593802,-52053.826574596205
kalman,theta,0,0.39784686675594283,
kalman,theta,0,0.40345034375250544,
kalman,theta,0,0.409053820749068,
kalman,theta,0,0.41465729774563054,
kalman,theta,0,0.42026077474219314,
kalman,theta,0,0.42586425173875575,
kalman,theta,0,0.4314677287353183,
kalman,lambda_i,0,-0.4233499044253493,-52048.56974482482
kalman,lambda_i,0,-0.38603919696639577,-52049.47493125423
kalman,lambda_i,0,-0.3487284895074423,-52050.340501703125
kalman,lambda_i,0,-0.31141778204848874,-52051.15985967885
kalman,lambda_i,0,-0.2741070745895352,-52051.921974349505
kalman,lambda_i,0,-0.23679636713058166,-52052.60944962193
kalman,lambda_i,0,-0.19948565967162815,-52053.195162857475
kalman,lambda_i,0,-0.16217495221267464,-52053.63136523329
kalman,lambda_i,0,-0.1248642447537211,-52053.82607983098
kalman,lambda_i,0,-0.08755353729476756,-52053.5673532582
kalman,lambda_i,0,-0.05024282983581402,-52052.20649932401
kalman,lambda_i,0,-0.012932122376860533,-52046.08935824371
kalman,lambda_i,0,0.024378585082093007,
kalman,lambda_i,0,0.06168929254104655,
kalman,lambda_i,0,0.099,
kalman,sigma,0,0.14190433123134125,-51970.81664153826
kalman,sigma,0,0.14415678093342604,-51983.670873949035
kalman,sigma,0,0.1464092306355108,-51996.16728871852
kalman,sigma,0,0.14866168033759558,-52008.315976667436
kalman,sigma,0,0.15091413003968038,-52020.16854696459
kalman,sigma,0,0.15316657974176517,-52031.70825770256
kalman,sigma,0,0.15541902944384994,-52042.92500228546
kalman,sigma,0,0.1576714791459347,-52053.826574596205
kalman,sigma,0,0.1599239288480195,
kalman,sigma,0,0.1621763785501043,
kalman,sigma,0,0.16442882825218907,
kalman,sigma,0,0.16668127795427384,
kalman,sigma,0,0.16893372765635864,
kalman,sigma,0,0.17118617735844344,
kalman,sigma,0,0.1734386270605282,
kalman,sigma_err,0,0.0005138015028799735,-51957.79055758684
kalman,sigma_err,0,0.0005219570822907667,-51985.0765255542
kalman,sigma_err,0,0.00053011266170156,-52007.26521975464
kalman,sigma_err,0,0.0005382682411123532,-52024.74228053938
kalman,sigma_err,0,0.0005464238205231464,-52037.87310515786
kalman,sigma_err,0,0.0005545793999339396,-52046.90921710967
kalman,sigma_err,0,0.0005627349793447329,-52052.13788329556
kalman,sigma_err,0,0.0005708905587555261,-52053.826574596205
kalman,sigma_err,0,0.0005790461381663194,-52052.212249132936
kalman,sigma_err,0,0.0005872017175771126,-52047.5226643783
kalman,sigma_err,0,0.0005953572969879059,-52039.96936545247
kalman,sigma_err,0,0.0006035128763986991,-52029.74958162265
kalman,sigma_err,0,0.0006116684558094923,-52017.08351397134
kalman,sigma_err,0,0.0006198240352202855,-52002.092803705185
kalman,sigma_err,0,0.0006279796146310788,-51984.932896084014
