parameter,value,neg_log_like
kappa,0.032845127078713045,
kappa,0.033027094541753,
kappa,0.03320906200479297,
kappa,0.03339102946783293,
kappa,0.03357299693087289,
kappa,0.03375496439391285,
kappa,0.03393693185695282,
kappa,0.034118899319992776,
kappa,0.034300866783032735,
kappa,0.0344828342460727,
kappa,0.03466480170911266,-18115.70871079876
kappa,0.034846769172152625,-18115.191463610194
kappa,0.035028736635192584,-18114.63723019557
kappa,0.03521070409823254,-18114.04606699107
kappa,0.03539267156127251,-18113.418030354514
kappa,0.03557463902431247,-18112.753176885235
kappa,0.03575660648735243,-18112.051562101522
kappa,0.03593857395039239,-18111.313242491284
kappa,0.03612054141343236,-18110.538276671505
kappa,0.036302508876472316,-18109.726715343015
theta,0.08969736740710468,
theta,0.09019430573068975,
theta,0.09069124405427482,
theta,0.09118818237785989,
theta,0.09168512070144495,
theta,0.09218205902503002,
theta,0.0926789973486151,
theta,0.09317593567220016,
theta,0.09367287399578522,
theta,0.09416981231937029,
theta,0.09466675064295536,-18115.69514799529
theta,0.09516368896654043,-18115.069320380084
theta,0.09566062729012549,-18114.297851597817
theta,0.09615756561371055,-18113.380739886263
theta,0.09665450393729563,-18112.317983428868
theta,0.0971514422608807,-18111.109580355376
theta,0.09764838058446576,-18109.755528742353
theta,0.09814531890805084,-18108.255826613702
theta,0.0986422572316359,-18106.61047194119
theta,0.09913919555522097,-18104.819462644882
sigma,0.07675926327382615,-18101.459271127
sigma,0.07718452235013544,-18103.486355829686
sigma,0.07760978142644472,-18105.396344596506
sigma,0.078035040502754,-18107.18891334335
sigma,0.0784602995790633,-18108.863714768377
sigma,0.07888555865537258,-18110.420391501346
sigma,0.07931081773168186,-18111.858572993435
sigma,0.07973607680799115,-18113.17787841221
sigma,0.08016133588430044,-18114.377913692882
sigma,0.08058659496060973,-18115.458274138204
sigma,0.081011854036919,
sigma,0.0814371131132283,
sigma,0.08186237218953758,
sigma,0.08228763126584687,
sigma,0.08271289034215615,
sigma,0.08313814941846544,
sigma,0.08356340849477473,
sigma,0.08398866757108402,
sigma,0.08441392664739329,
sigma,0.08483918572370258,
lambda1,[-0.13940426],-18112.716926536188
lambda1,[-0.13030015],-18113.26058697825
lambda1,[-0.12119604],-18113.756450831464
lambda1,[-0.11209193],-18114.20403068485
lambda1,[-0.10298782],-18114.602776382282
lambda1,[-0.09388372],-18114.95205570457
lambda1,[-0.08477961],-18115.25112789317
lambda1,[-0.0756755],-18115.49910660226
lambda1,[-0.06657139],-18115.694906799545
lambda1,[-0.05746728],-18115.837166504876
lambda1,[-0.04836317],-18115.924127582683
lambda1,[-0.03925906],-18115.95344688669
lambda1,[-0.03015495],-18115.921882435585
lambda1,[-0.02105084],-18115.82474009283
lambda1,[-0.01194673],-18115.654821310818
lambda1,[-0.00284262],-18115.400210810734
lambda1,[0.00626149],-18115.038923021435
lambda1,[0.0153656],-18114.52284108091
lambda1,[0.02446971],-18113.706683863915
lambda1,[0.03357382],-18111.174364402843
sigma_err,0.027152937020488127,-18093.312481616806
sigma_err,0.027303368804535152,-18097.993162236795
sigma_err,0.02745380058858218,-18102.097119972215
sigma_err,0.027604232372629205,-18105.639499830424
sigma_err,0.02775466415667623,-18108.63501057565
sigma_err,0.027905095940723254,-18111.097939215448
sigma_err,0.028055527724770282,-18113.042164936393
sigma_err,0.028205959508817307,-18114.481172512555
sigma_err,0.02835639129286433,-18115.4280652096
sigma_err,0.028506823076911356,-18115.895577205592
sigma_err,0.028657254860958385,-18115.896085549168
sigma_err,0.02880768664500541,-18115.441621674447
sigma_err,0.028958118429052434,-18114.54388249131
sigma_err,0.02910855021309946,-18113.214241068643
sigma_err,0.029258981997146487,-18111.463756927453
sigma_err,0.02940941378119351,-18109.30318595998
sigma_err,0.029559845565240536,-18106.742989990074
sigma_err,0.029710277349287564,-18103.793345989558
sigma_err,0.02986070913333459,-18100.464154964462
sigma_err,0.030011140917381614,-18096.76505052465
