center,parameter,idx,value,neg_log_like
kalman,kappa,0,0.5161120906001203,
kalman,kappa,0,0.5243043460064715,
kalman,kappa,0,0.5324966014128225,
kalman,kappa,0,0.5406888568191737,
kalman,kappa,0,0.5488811122255248,
kalman,kappa,0,0.5570733676318759,
kalman,kappa,0,0.565265623038227,-39589.32710309399
kalman,kappa,0,0.5734578784445781,-39699.58809719472
kalman,kappa,0,0.5816501338509292,
kalman,kappa,0,0.5898423892572804,
kalman,kappa,0,0.5980346446636314,
kalman,kappa,0,0.6062269000699826,
kalman,kappa,0,0.6144191554763337,
kalman,kappa,0,0.6226114108826848,
kalman,kappa,0,0.630803666289036,
kalman,kappa,1,0.38801800135172054,
kalman,kappa,1,0.3941770172461923,
kalman,kappa,1,0.40033603314066407,
kalman,kappa,1,0.40649504903513584,
kalman,kappa,1,0.41265406492960754,
kalman,kappa,1,0.4188130808240793,
kalman,kappa,1,0.4249720967185511,
kalman,kappa,1,0.43113111261302284,-39699.58809719472
kalman,kappa,1,0.4372901285074946,-39582.79165049637
kalman,kappa,1,0.44344914440196637,-39463.43809138035
kalman,kappa,1,0.44960816029643813,-39340.70105224076
kalman,kappa,1,0.4557671761909099,-39215.45205492039
kalman,kappa,1,0.4619261920853816,-39087.356616392986
kalman,kappa,1,0.46808520797985337,-38956.59113906622
kalman,kappa,1,0.47424422387432513,-38823.2854576177
kalman,theta,0,0.419951303806275,-38518.818707918464
kalman,theta,0,0.4266171975174857,-38754.9902173756
kalman,theta,0,0.4332830912286964,-38966.524172965226
kalman,theta,0,0.43994898493990714,-39159.34832920354
kalman,theta,0,0.4466148786511179,-39337.004707211934
kalman,theta,0,0.4532807723623286,-39487.64875401163
kalman,theta,0,0.4599466660735393,-39607.31908550578
kalman,theta,0,0.46661255978475,-39699.58809719438
kalman,theta,0,0.47327845349596076,
kalman,theta,0,0.4799443472071715,
kalman,theta,0,0.4866102409183822,
kalman,theta,0,0.4932761346295929,
kalman,theta,0,0.4999420283408036,
kalman,theta,0,0.5066079220520143,
kalman,theta,0,0.5132738157632251,
kalman,theta,1,0.23961848495510957,-39232.48886137583
kalman,theta,1,0.24342195297027003,-39324.91403085223
kalman,theta,1,0.24722542098543052,-39409.35919259411
kalman,theta,1,0.251028889000591,-39485.20061488886
kalman,theta,1,0.25483235701575147,-39552.33824798487
kalman,theta,1,0.2586358250309119,-39610.44647835538
kalman,theta,1,0.2624392930460724,-39659.20438022759
kalman,theta,1,0.2662427610612329,-39699.588097194035
kalman,theta,1,0.27004622907639336,
kalman,theta,1,0.2738496970915538,
kalman,theta,1,0.2776531651067143,
kalman,theta,1,0.28145663312187474,
kalman,theta,1,0.28526010113703526,
kalman,theta,1,0.2890635691521957,
kalman,theta,1,0.2928670371673562,
kalman,lambda_i,0,-0.30986317271362,-39694.16586838465
kalman,lambda_i,0,-0.2806586603769329,-39694.81861927904
kalman,lambda_i,0,-0.25145414804024574,-39695.442230111774
kalman,lambda_i,0,-0.22224963570355857,-39696.03729850906
kalman,lambda_i,0,-0.19304512336687144,-39696.60450714604
kalman,lambda_i,0,-0.1638406110301843,-39697.144639577746
kalman,lambda_i,0,-0.13463609869349713,-39697.65859977998
kalman,lambda_i,0,-0.10543158635680999,-39698.14743652078
kalman,lambda_i,0,-0.07622707402012285,-39698.612373915705
kalman,lambda_i,0,-0.047022561683435715,-39699.05485020422
kalman,lambda_i,0,-0.017818049346748577,-39699.47656749666
kalman,lambda_i,0,0.011386462989938562,
kalman,lambda_i,0,0.040590975326625756,
kalman,lambda_i,0,0.0697954876633129,
kalman,lambda_i,0,0.099,
kalman,lambda_i,1,-0.587860458146278,-39699.653162375886
kalman,lambda_i,1,-0.5450033152891351,-39702.57113947701
kalman,lambda_i,1,-0.5021461724319922,-39704.536334953176
kalman,lambda_i,1,-0.4592890295748494,-39705.57824479183
kalman,lambda_i,1,-0.41643188671770653,-39705.71869259261
kalman,lambda_i,1,-0.37357474386056366,-39705.04992783483
kalman,lambda_i,1,-0.33071760100342085,-39703.14297821367
kalman,lambda_i,1,-0.287860458146278,-39699.58809719472
kalman,lambda_i,1,-0.2450033152891351,-39694.65929229242
kalman,lambda_i,1,-0.20214617243199223,-39688.19509738959
kalman,lambda_i,1,-0.15928902957484936,-39679.90987316829
kalman,lambda_i,1,-0.11643188671770655,-39668.59629291184
kalman,lambda_i,1,-0.07357474386056373,-39654.51674165362
kalman,lambda_i,1,-0.030717601003420802,-39636.90923339271
kalman,lambda_i,1,0.012139541853722013,
kalman,sigma,0,0.1737247527618153,-39599.50645730371
kalman,sigma,0,0.17648228851993933,-39615.26935556569
kalman,sigma,0,0.1792398242780634,-39630.61650228396
kalman,sigma,0,0.18199736003618744,-39645.50955424698
kalman,sigma,0,0.1847548957943115,-39659.76111553021
kalman,sigma,0,0.18751243155243555,-39673.508961535576
kalman,sigma,0,0.19026996731055962,-39686.77636389834
kalman,sigma,0,0.19302750306868366,-39699.58809719472
kalman,sigma,0,0.1957850388268077,
kalman,sigma,0,0.19854257458493177,
kalman,sigma,0,0.2013001103430558,
kalman,sigma,0,0.20405764610117988,
kalman,sigma,0,0.20681518185930392,
kalman,sigma,0,0.20957271761742796,
kalman,sigma,0,0.21233025337555203,
kalman,sigma,1,0.21874161456227154,-39557.4792466611
kalman,sigma,1,0.22221370368230758,-39580.019219942966
kalman,sigma,1,0.22568579280234366,-39601.7607131224
kalman,sigma,1,0.2291578819223797,-39622.73637530251
kalman,sigma,1,0.23262997104241576,-39642.96292082045
kalman,sigma,1,0.2361020601624518,-39662.558549335576
kalman,sigma,1,0.23957414928248788,-39681.50796244915
kalman,sigma,1,0.24304623840252393,-39699.58809719472
kalman,sigma,1,0.24651832752255998,
kalman,sigma,1,0.24999041664259603,
kalman,sigma,1,0.2534625057626321,
kalman,sigma,1,0.2569345948826681,
kalman,sigma,1,0.2604066840027042,
kalman,sigma,1,0.2638787731227403,
kalman,sigma,1,0.2673508622427763,
kalman,sigma_err,0,0.0018928684056271016,-39589.53554884481
kalman,sigma_err,0,0.0019229139358751509,-39618.37977632654
kalman,sigma_err,0,0.0019529594661232001,-39642.2803889946
kalman,sigma_err,0,0.0019830049963712494,-39661.71466314877
kalman,sigma_err,0,0.0020130505266192987,-39676.86533378395
kalman,sigma_err,0,0.002043096056867348,-39688.027032743645
kalman,sigma_err,0,0.0020731415871153972,-39695.492381662756
kalman,sigma_err,0,0.0021031871173634465,-39699.58809719472
kalman,sigma_err,0,0.0021332326476114953,-39700.263764901465
kalman,sigma_err,0,0.0021632781778595446,-39697.74750845924
kalman,sigma_err,0,0.002193323708107594,-39692.48949317753
kalman,sigma_err,0,0.002223369238355643,-39684.697852001125
kalman,sigma_err,0,0.0022534147686036924,-39674.496111352535
kalman,sigma_err,0,0.0022834602988517417,-39662.05439336229
kalman,sigma_err,0,0.002313505829099791,-39647.52560883936
