parameter,value,neg_log_like
kappa,0.9655554097559645,164956923.8287265
kappa,0.9768484554841045,126164987.67160742
kappa,0.9881415012122444,93321242.2867057
kappa,0.9994345469403844,66185645.37005303
kappa,1.0107275926685244,44526573.13390587
kappa,1.0220206383966643,28121847.907600176
kappa,1.0333136841248043,16807288.962205917
kappa,1.0446067298529442,10435365.662177434
kappa,1.0558997755810842,9171287.648825435
kappa,1.067192821309224,12800534.05075116
kappa,1.078485867037364,21512079.671248652
kappa,1.089778912765504,36076597.298068866
kappa,1.101071958493644,54993467.77196619
kappa,1.1123650042217839,79007704.81146415
kappa,1.1236580499499238,109279717.16535388
kappa,1.1349510956780637,144772042.75206563
kappa,1.1462441414062037,184687496.92813677
kappa,1.1575371871343436,231220871.46744925
kappa,1.1688302328624836,281156987.0489466
kappa,1.1801232785906235,337618643.83809114
theta,0.8254026483006333,968729590.0582609
theta,0.8350564804445003,763578793.1404064
theta,0.8447103125883674,583044624.4083414
theta,0.8543641447322344,427127084.15625846
theta,0.8640179768761015,295826172.8767097
theta,0.8736718090199685,189141891.53148654
theta,0.8833256411638356,107074242.41283903
theta,0.8929794733077027,49623236.09020217
theta,0.9026333054515697,16898300.97531807
theta,0.9122871375954368,9799076.90592878
theta,0.921940969739304,31007339.47892769
theta,0.931594801883171,82051951.64748207
theta,0.9412486340270381,167617971.6426928
theta,0.9509024661709051,288549301.8344091
theta,0.9605562983147722,447792167.2141062
theta,0.9702101304586392,652110232.407151
theta,0.9798639626025063,897859371.2252039
theta,0.9895177947463734,1193474371.7229462
theta,0.9991716268902404,1542997582.7729688
theta,1.0088254590341075,1947267422.7408457
sigma,0.9509089607127433,341978783.52203476
sigma,0.9620307029433017,281845363.5635353
sigma,0.9731524451738601,229989307.1382835
sigma,0.9842741874044185,183510444.2332422
sigma,0.9953959296349769,141612848.1498659
sigma,1.0065176718655353,106064108.06204136
sigma,1.0176394140960938,77091229.1290358
sigma,1.028761156326652,53540737.65664183
sigma,1.0398828985572106,35088575.63211252
sigma,1.051004640787769,21314985.765349805
sigma,1.0621263830183274,12928452.36114717
sigma,1.073248125248886,9370496.016737841
sigma,1.0843698674794442,10451040.466559594
sigma,1.0954916097100027,15891803.866296513
sigma,1.106613351940561,25718391.197302062
sigma,1.1177350941711195,39727574.772285156
sigma,1.1288568364016778,57807755.206607305
sigma,1.1399785786322363,79934618.61111562
sigma,1.1511003208627946,106021610.3700903
sigma,1.162222063093353,136020525.37571976
lambda1,[-0.72625752],16422332.778190946
lambda1,[-0.63162084],16419942.607268952
lambda1,[-0.53698417],16417576.295113133
lambda1,[-0.44234749],16415244.465373408
lambda1,[-0.34771081],16412964.815038528
lambda1,[-0.25307414],16410769.257728403
lambda1,[-0.15843746],16408721.93953481
lambda1,[-0.06380078],16406973.963783316
lambda1,[0.0308359],16405987.192201082
lambda1,[0.12547257],16408182.976765059
lambda1,[0.22010925],16409976.409700736
lambda1,[0.31474593],16407811.841547292
lambda1,[0.4093826],16405830.82806379
lambda1,[0.50401928],16404246.139196863
lambda1,[0.59865596],16403811.237211395
lambda1,[0.69329264],16410559.561464472
lambda1,[0.78792931],16520015.913382104
lambda1,[0.88256599],16517431.701837147
lambda1,[0.97720267],16514853.99136804
lambda1,[1.07183934],16512308.400282618
sigma_err,0.0002605994057169959,20265312.777504243
sigma_err,0.00026364735198269174,19798882.525500845
sigma_err,0.00026669529824838764,19348353.501438856
sigma_err,0.0002697432445140835,18913011.07984598
sigma_err,0.00027279119077977933,18492180.331623174
sigma_err,0.0002758391370454752,18085223.409376666
sigma_err,0.0002788870833111711,17691537.12810624
sigma_err,0.0002819350295768669,17310550.73193115
sigma_err,0.00028498297584256277,16941723.823444877
sigma_err,0.0002880309221082586,16584544.441517323
sigma_err,0.0002910788683739545,16238527.29096938
sigma_err,0.00029412681463965036,15903212.088215915
sigma_err,0.0002971747609053462,15578162.036354948
sigma_err,0.00030022270717104205,15262962.39175405
sigma_err,0.00030327065343673795,14957219.152149294
sigma_err,0.0003063185997024338,14660557.815210784
sigma_err,0.00030936654596812964,14372622.239918273
sigma_err,0.00031241449223382554,14093073.569432408
sigma_err,0.0003154624384995214,13821589.237332981
sigma_err,0.00031851038476521723,13557862.038305871
