parameter,value,neg_log_like
kappa,0.5475149832378586,
kappa,0.5829387054489797,
kappa,0.6183624276601009,
kappa,0.653786149871222,
kappa,0.6892098720823431,
kappa,0.7246335942934642,-3338.767311701066
kappa,0.7600573165045852,-3348.3379344964283
kappa,0.7954810387157063,-3352.2275131531073
kappa,0.8309047609268274,-3354.257209712088
kappa,0.8663284831379485,-3355.2583148802687
kappa,0.9017522053490696,-3355.5331495693913
kappa,0.9371759275601907,-3355.2274174728027
kappa,0.9725996497713119,-3354.4273142801826
kappa,1.008023371982433,-3353.192580703677
kappa,1.043447094193554,-3351.569689758661
kappa,1.0788708164046752,-3349.5976778008276
kappa,1.1142945386157963,-3347.310918690481
kappa,1.1497182608269174,-3344.7405131519045
kappa,1.1851419830380385,-3341.9150223094384
kappa,1.2205657052491596,-3338.8608763040606
theta,0.31737406681329966,-3263.767274703841
theta,0.33652526306502356,-3287.3037899862643
theta,0.3556764593167475,-3306.9892820121786
theta,0.3748276555684714,-3323.078436736534
theta,0.3939788518201953,-3335.782366457496
theta,0.4131300480719193,-3345.2691428193007
theta,0.4322812443236432,-3351.6608724796197
theta,0.45143244057536713,-3355.025316353412
theta,0.47058363682709103,-3355.3577247742173
theta,0.48973483307881494,-3352.5428882699016
theta,0.5088860293305388,-3346.272158724854
theta,0.5280372255822627,-3335.842456786274
theta,0.5471884218339867,-3319.579997704232
theta,0.5663396180857106,-3292.640677672746
theta,0.5854908143374346,-3231.235837214255
theta,0.6046420105891586,
theta,0.6237932068408825,
theta,0.6429444030926064,
theta,0.6620955993443303,
theta,0.6812467955960542,
gamma1,0.20949343139508625,-3156.798151909382
gamma1,0.2189442628865939,-3207.565895588037
gamma1,0.22839509437810154,-3247.811538238549
gamma1,0.2378459258696092,-3279.2613878862817
gamma1,0.24729675736111686,-3303.454092017648
gamma1,0.2567475888526245,-3321.7107239674174
gamma1,0.26619842034413216,-3335.128333913117
gamma1,0.2756492518356398,-3344.5935280291164
gamma1,0.2851000833271475,-3350.808324834149
gamma1,0.29455091481865514,-3354.3205124900946
gamma1,0.30400174631016275,-3355.552912681176
gamma1,0.3134525778016704,-3354.8285087878344
gamma1,0.32290340929317807,-3352.3902697807566
gamma1,0.33235424078468573,-3348.415505111139
gamma1,0.3418050722761934,-3343.024831670321
gamma1,0.351255903767701,-3336.2854830439483
gamma1,0.3607067352592087,-3328.2076417093826
gamma1,0.3701575667507163,-3318.7301614544504
gamma1,0.379608398242224,-3307.6865950477436
gamma1,0.38905922973373164,-3294.727844170247
lambda_i,-0.4256878040524934,
lambda_i,-0.39765337853055677,-2539.2049449268525
lambda_i,-0.36961895300862013,-2726.854686799334
lambda_i,-0.34158452748668355,-2847.0607504687155
lambda_i,-0.3135501019647469,-2937.315189452964
lambda_i,-0.2855156764428103,-3009.964735506818
lambda_i,-0.25748125092087365,-3070.666599307585
lambda_i,-0.22944682539893704,-3122.486810154906
lambda_i,-0.2014123998770004,-3167.263446968312
lambda_i,-0.1733779743550638,-3206.170120109986
lambda_i,-0.14534354883312717,-3239.9829381567715
lambda_i,-0.11730912331119053,-3269.218291080966
lambda_i,-0.0892746977892539,-3294.2062874913045
lambda_i,-0.061240272267317264,-3315.1266317720874
lambda_i,-0.033205846745380685,-3332.015560216585
lambda_i,-0.00517142122344405,-3344.7367763282928
lambda_i,0.022863004298492584,-3352.874875862173
lambda_i,0.05089742982042922,-3355.360613842497
lambda_i,0.0789318553423658,-3348.445375480013
lambda_i,0.10696628086430249,-3339.222724309255
sigma,0.05,-3353.551738913351
sigma,0.11882555969312679,-3355.190073100021
sigma,0.18765111938625356,-3354.4366063840066
sigma,0.2564766790793804,-3353.2149100932575
sigma,0.32530223877250714,-3351.7973348484793
sigma,0.3941277984656339,-3350.276493916626
sigma,0.4629533581587607,-3348.70037029041
sigma,0.5317789178518876,-3347.0963749913167
sigma,0.6006044775450143,-3345.4800591721614
sigma,0.6694300372381411,-3343.8598577550015
sigma,0.7382555969312679,-3342.2399812295985
sigma,0.8070811566243947,-3340.6222038161645
sigma,0.8759067163175215,-3339.0069571503946
sigma,0.9447322760106482,
sigma,1.0135578357037751,
sigma,1.0823833953969018,
sigma,1.1512089550900286,
sigma,1.2200345147831555,
sigma,1.2888600744762821,
sigma,1.357685634169409,
sigma_err,0.004253018720709031,-2532.469220581545
sigma_err,0.004700704901836298,-2798.353644882701
sigma_err,0.005148391082963564,-2982.375775524259
sigma_err,0.0055960772640908304,-3110.841290403456
sigma_err,0.006043763445218097,-3200.526844796974
sigma_err,0.006491449626345364,-3262.509420120138
sigma_err,0.00693913580747263,-3304.3193631315166
sigma_err,0.007386821988599896,-3331.20482514199
sigma_err,0.007834508169727163,-3346.902466762336
sigma_err,0.00828219435085443,-3354.1225419002344
sigma_err,0.008729880531981697,-3354.8628773392124
sigma_err,0.009177566713108962,-3350.617167187268
sigma_err,0.00962525289423623,-3342.5162034878745
sigma_err,0.010072939075363496,-3331.4255170475963
sigma_err,0.010520625256490761,-3318.014071035796
sigma_err,0.010968311437618028,-3302.8033560985286
sigma_err,0.011415997618745295,-3286.2029824623887
sigma_err,0.011863683799872562,-3268.536819719378
sigma_err,0.012311369980999829,-3250.0624232174464
sigma_err,0.012759056162127094,-3230.9856286110803
