center,parameter,value,neg_log_like
true,kappa,0.6044548314501795,
true,kappa,0.6158917331700807,-8310.176305801782
true,kappa,0.6273286348899819,-10492.899079716324
true,kappa,0.6387655366098831,-10931.706367921903
true,kappa,0.6502024383297844,-9732.043068562245
true,kappa,0.6616393400496856,-6993.633457251812
true,kappa,0.6730762417695868,-2810.7880175980636
true,kappa,0.684513143489488,2727.304950916955
true,kappa,0.6959500452093892,9536.301885914014
true,kappa,0.7073869469292904,17536.441223466478
true,kappa,0.7188238486491916,26652.294540544535
true,kappa,0.7302607503690928,36812.52976048907
true,kappa,0.7416976520889941,47949.68816529348
true,kappa,0.7531345538088953,59999.97274953419
true,kappa,0.7645714555287965,72903.04838599889
true,theta,0.13586786545565088,3344247.0773430374
true,theta,0.1413362833969814,2349925.989501532
true,theta,0.14680470133831192,1530378.1607146699
true,theta,0.15227311927964243,885271.3498102889
true,theta,0.15774153722097295,414259.2674272617
true,theta,0.16320995516230347,116981.4919862288
true,theta,0.16867837310363398,-6936.612389722307
true,theta,0.1741467910449645,42116.02861434226
true,theta,0.17961520898629502,263736.13377903384
true,theta,0.18508362692762553,657506.0233037267
true,theta,0.19055204486895605,1222993.6262449184
true,theta,0.19602046281028657,1959752.6269421254
true,theta,0.20148888075161708,2867323.108932257
true,theta,0.2069572986929476,3945235.2974410756
true,theta,0.21242571663427812,5193209.715929379
true,gamma1,0.40143787744665255,3343865.8930504965
true,gamma1,0.41054473090076216,2761989.521357709
true,gamma1,0.41965158435487177,2235671.825679341
true,gamma1,0.4287584378089814,1764855.540573281
true,gamma1,0.437865291263091,1349482.0253838787
true,gamma1,0.4469721447172006,989491.2606815755
true,gamma1,0.4560789981713102,684821.844773432
true,gamma1,0.4651858516254198,435410.98968074145
true,gamma1,0.47429270507952936,241194.51784453832
true,gamma1,0.48339955853363903,102106.85885926914
true,gamma1,0.4925064119877486,18081.04658803967
true,gamma1,0.5016132654418582,-10951.283503979044
true,gamma1,0.5107201188959678,14940.103429788614
true,gamma1,0.5198269723500775,95684.03945962797
true,gamma1,0.528933825804187,
true,lambda_i,-0.10820905380314343,
true,lambda_i,-0.09854151574607094,
true,lambda_i,-0.08887397768899846,-10730.811183007838
true,lambda_i,-0.07920643963192597,-10810.192982659903
