center,parameter,idx,value,neg_log_like
true,kappa,0,0.43188080997919365,-42819.66130112681
true,kappa,0,0.43512803411437556,-42875.42177933736
true,kappa,0,0.4383752582495575,-42922.35494331158
true,kappa,0,0.4416224823847394,-42960.623981442426
true,kappa,0,0.44486970651992125,-42990.38939249952
true,kappa,0,0.44811693065510316,-43011.80903250145
true,kappa,0,0.4513641547902851,-43025.03815092545
true,kappa,0,0.454611378925467,-43030.22943713939
true,kappa,0,0.4578586030606489,-43027.533058032815
true,kappa,0,0.4611058271958308,-43017.09670328224
true,kappa,0,0.46435305133101273,-42999.065623510396
true,kappa,0,0.46760027546619465,-42973.582665315145
true,kappa,0,0.4708474996013765,-42940.78831737339
true,kappa,0,0.4740947237365584,-42900.82074462098
true,kappa,0,0.47734194787174034,-42853.81582026204
true,theta,0,0.019547004980395567,-21020.016860225605
true,theta,0,0.01969397494265418,-26851.70387888293
true,theta,0,0.019840944904912793,-31787.651507182247
true,theta,0,0.019987914867171407,-35827.82922109962
true,theta,0,0.02013488482943002,-38972.20646862111
true,theta,0,0.020281854791688633,-41220.75266815595
true,theta,0,0.020428824753947247,-42573.43720655467
true,theta,0,0.02057579471620586,-43030.22943713939
true,theta,0,0.020722764678464473,-42591.0986776196
true,theta,0,0.020869734640723087,-41256.014207785855
true,theta,0,0.0210167046029817,-39024.945267170224
true,theta,0,0.021163674565240313,-35897.86105249414
true,theta,0,0.021310644527498927,-31874.730714958234
true,theta,0,0.02145761448975754,-26955.523357355123
true,theta,0,0.021604584452016153,-21140.208031011145
true,gamma1,0,0.39210653260360684,-21019.636210296623
true,gamma1,0,0.3950547020216791,-26851.314718757138
true,gamma1,0,0.3980028714397513,-31787.273025511768
true,gamma1,0,0.40095104085782357,-35827.48167178072
true,gamma1,0,0.40389921027589576,-38971.91116928144
true,gamma1,0,0.406847379693968,-41220.5319998047
true,gamma1,0,0.40979554911204025,-42573.3146152881
true,gamma1,0,0.4127437185301125,-43030.22943713939
