Parameter,Estimated Kalman,Estimated Filipovic,True,"Abs Error, Kalman","Rel Error (%), Kalman","Abs Error, Filipovic","Rel Error (%), Filipovic"
kappa1,0.7784754573882363,0.7894413343198723,0.7900528276994305,0.011577370311194213,1.4653919213107016,0.0006114933795582367,0.07739904954695949
kappa2,0.9973020730994432,0.19092162083838793,0.686074165927846,0.3112279071715972,45.36359516623001,0.49515254508945805,72.1718685354978
theta1,0.12248835568719257,0.29687237390012244,0.12153806380452843,0.0009502918826641421,0.7818882849676718,0.17533431009559403,144.26287914014077
theta2,0.21710205187728004,0.001154526297784174,0.2839703813026161,0.06686832942533605,23.547642228953833,0.2828158550048319,99.59343425448522
gamma1,0.4855805282327091,0.18977358618638496,0.317617585405287,0.16796294282742208,52.88212949956713,0.12784399921890205,40.250919688772996
kappa_p1,0.9992509799359074,-1.0,0.44606702068119963,0.5531839592547078,124.01364225714944,1.4460670206811996,324.18155874264727
kappa_p2,0.9995226274433995,-1.0,0.5069238948386092,0.49259873260479026,97.1741000217834,1.5069238948386092,297.26827048039877
theta_p1,0.4183545732511351,-1.0,0.21703034553771472,0.2013242277134204,92.76316969160196,1.2170303455377147,560.7650591544691
theta_p2,0.43435865371603843,-1.0,0.20601746416599342,0.228341189550045,110.83584125958603,1.2060174641659933,585.3957425639774
sigma1,0.43629629346899856,-1.0,0.6182332454250331,0.18193695195603454,29.428529329727898,1.6182332454250332,261.75124961332415
sigma2,0.3842378363686008,-1.0,0.5832233325435531,0.19898549617495226,34.11823311442924,1.583223332543553,271.4609042883797
sigma_err,0.0032541126956882327,-1.0,0.0032353539688552498,1.875872683298292e-05,0.5798044669474058,1.0032353539688552,31008.519118043372
